t_s,iteration,tail_pwm_us,main_pwm_us,psi_pitch_deg
0.0003,1,1500,1500,-0.0000
0.0053,2,1500,1500,-0.0000
0.0104,3,1500,1500,-0.0000
0.0155,4,1500,1500,-0.0000
0.0205,5,1500,1500,-0.0000
0.0256,6,1500,1500,-0.0000
0.0307,7,1500,1500,-0.0000
0.0357,8,1500,1500,-0.0000
0.0408,9,1500,1500,-0.0000
0.0458,10,1500,1500,-0.0000
0.0509,11,1500,1500,-0.0000
0.0560,12,1500,1500,-0.0000
0.0610,13,1500,1500,-0.0000
0.0661,14,1500,1500,-0.0000
0.0712,15,1500,1500,-0.0000
0.0763,16,1500,1500,-0.0000
0.0814,17,1500,1500,-0.0000
0.0864,18,1500,1500,-0.0000
0.0915,19,1500,1500,-0.0000
0.0966,20,1500,1500,-0.0000
0.1016,21,1500,1500,-0.0000
0.1067,22,1500,1500,-0.0000
0.1118,23,1500,1500,-0.0000
0.1168,24,1500,1500,-0.0000
0.1219,25,1500,1500,-0.0000
0.1270,26,1500,1500,-0.0000
0.1320,27,1500,1500,-0.0000
0.1371,28,1500,1500,-0.0000
0.1422,29,1500,1500,-0.0000
0.1473,30,1500,1500,-0.0000
0.1523,31,1500,1500,-0.0000
0.1574,32,1500,1500,-0.0000
0.1625,33,1500,1500,-0.0000
0.1676,34,1500,1500,-0.0000
0.1726,35,1500,1500,-0.0000
0.1777,36,1500,1500,-0.0000
0.1828,37,1500,1500,-0.0000
0.1879,38,1500,1500,-0.0000
0.1930,39,1500,1500,-0.0000
0.1980,40,1500,1500,-0.0000
0.2031,41,1500,1500,-0.0000
0.2082,42,1500,1500,-0.0000
0.2132,43,1500,1500,-0.0000
0.2183,44,1500,1500,-0.0000
0.2234,45,1500,1500,-0.0000
0.2284,46,1500,1500,-0.0000
0.2335,47,1500,1500,-0.0000
0.2386,48,1500,1500,-0.0000
0.2436,49,1500,1500,-0.0000
0.2487,50,1500,1500,-0.0000
0.2538,51,1500,1500,-0.0000
0.2588,52,1500,1500,-0.0000
0.2639,53,1500,1500,-0.0000
0.2690,54,1500,1500,-0.0000
0.2740,55,1500,1500,-0.0000
0.2791,56,1500,1500,-0.0000
0.2841,57,1500,1500,-0.0000
0.2892,58,1500,1500,-0.0000
0.2942,59,1500,1500,-0.0000
0.2993,60,1500,1500,-0.0000
0.3044,61,1500,1500,-0.0000
0.3095,62,1500,1500,-0.0000
0.3146,63,1500,1500,-0.0000
0.3196,64,1500,1500,-0.0000
0.3247,65,1500,1500,-0.0000
0.3298,66,1500,1500,-0.0000
0.3348,67,1500,1500,-0.0000
0.3399,68,1500,1500,-0.0000
0.3449,69,1500,1500,-0.0000
0.3500,70,1500,1500,-0.0000
0.3551,71,1500,1500,-0.0000
0.3602,72,1500,1500,-0.0000
0.3653,73,1500,1500,-0.0000
0.3703,74,1500,1500,-0.0000
0.3754,75,1500,1500,-0.0000
0.3805,76,1500,1500,-0.0000
0.3856,77,1500,1500,-0.0000
0.3906,78,1500,1500,-0.0000
0.3957,79,1500,1500,-0.0000
0.4008,80,1500,1500,-0.0000
0.4059,81,1500,1500,-0.0000
0.4109,82,1500,1500,-0.0000
0.4160,83,1500,1500,-0.0000
0.4211,84,1500,1500,-0.0000
0.4261,85,1500,1500,-0.0000
0.4312,86,1500,1500,-0.0000
0.4363,87,1500,1500,-0.0000
0.4413,88,1500,1500,-0.0000
0.4464,89,1500,1500,-0.0000
0.4515,90,1500,1500,-0.0000
0.4565,91,1500,1500,-0.0000
0.4616,92,1500,1500,-0.0000
0.4667,93,1500,1500,-0.0000
0.4717,94,1500,1500,-0.0000
0.4768,95,1500,1500,-0.0000
0.4819,96,1500,1500,-0.0000
0.4869,97,1500,1500,-0.0000
